FilePath	IFD0:ImageDescription	XMP-iptcExt:ArtworkContentDescription	XMP-iptcExt:PersonInImage	XMP-dc:Subject	XMP-dc:Description	XMP-dc:Creator	XMP-photoshop:CaptionWriter	XMP-photoshop:City	XMP-photoshop:State	XMP-photoshop:Country	XMP-iptcCore:Location	XMP-iptcCore:CountryCode	XMP-iptcCore:SubjectCode	XMP-iptcCore:ExtDescrAccessibility	XMP-lr:HierarchicalSubject	IPTC:CodedCharacterSet	IPTC:ApplicationRecordVersion	IPTC:Keywords	IPTC:City	IPTC:Sub-location	IPTC:Province-State	IPTC:Country-PrimaryLocationCode	IPTC:Country-PrimaryLocationName	IPTC:Caption-Abstract	IPTC:Writer-Editor
Photo Albums\China_1986_B02_Archive\China_1986_B02_P32_S01.tif					China (1986) - Book 02, Page 32, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P32_S02.tif					China (1986) - Book 02, Page 32, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P33_S01.tif					China (1986) - Book 02, Page 33, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P33_S02.tif					China (1986) - Book 02, Page 33, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P34_S01.tif					China (1986) - Book 02, Page 34, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P34_S02.tif					China (1986) - Book 02, Page 34, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P35_S01.tif					China (1986) - Book 02, Page 35, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P35_S02.tif					China (1986) - Book 02, Page 35, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P36_S01.tif					China (1986) - Book 02, Page 36, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P36_S02.tif					China (1986) - Book 02, Page 36, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P37_S01.tif					China (1986) - Book 02, Page 37, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P37_S02.tif					China (1986) - Book 02, Page 37, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P38_S01.tif					China (1986) - Book 02, Page 38, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P38_S02.tif					China (1986) - Book 02, Page 38, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P39_S01.tif					China (1986) - Book 02, Page 39, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P39_S02.tif					China (1986) - Book 02, Page 39, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P40_S01.tif					China (1986) - Book 02, Page 40, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P40_S02.tif					China (1986) - Book 02, Page 40, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P41_S01.tif					China (1986) - Book 02, Page 41, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P41_S02.tif					China (1986) - Book 02, Page 41, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P01_D01_01.jpg					EasternEuropeSpainMorocco (1988) - Book 00, Page 01, Derived D01_01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P01_D01_02.jpg					EasternEuropeSpainMorocco (1988) - Book 00, Page 01, Derived D01_02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P01_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 01, Scan S01 of 1 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P02_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 02, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P02_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 02, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P03_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 03, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P03_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 03, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P04_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 04, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P04_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 04, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P05_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 05, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P05_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 05, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P06_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 06, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P06_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 06, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P07_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 07, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P07_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 07, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P08_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 08, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P08_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 08, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P09_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 09, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P09_S02.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 09, Scan S02 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
Photo Albums\EasternEuropeSpainMorocco_1988_B00_Archive\EasternEuropeSpainMorocco_1988_B00_P10_S01.tif					EasternEuropeSpainMorocco (1988) - Book 00, Page 10, Scan S01 of 2 total	Audrey D. Cordell												"[""Eastern Europe"", ""Spain"", ""Morocco""]"							
